Время,Координата,Плотность,Сера,Давление
0,0,900,1.5e-05,6e+06
0,10000,900,1.5e-05,5.95139e+06
0,20000,900,1.5e-05,5.90958e+06
0,30000,900,1.5e-05,5.86776e+06
0,40000,900,1.5e-05,5.82595e+06
0,50000,900,1.5e-05,5.78414e+06
0,60000,900,1.5e-05,5.74233e+06
0,70000,900,1.5e-05,5.70052e+06
0,80000,900,1.5e-05,5.65871e+06
0,90000,900,1.5e-05,5.6169e+06
0,100000,900,1.5e-05,5.57509e+06
20000,0,990,1.9e-05,6e+06
20000,10000,900,1.5e-05,5.95819e+06
20000,20000,900,1.5e-05,5.90958e+06
20000,30000,900,1.5e-05,5.86776e+06
20000,40000,900,1.5e-05,5.82595e+06
20000,50000,900,1.5e-05,5.78414e+06
20000,60000,900,1.5e-05,5.74233e+06
20000,70000,900,1.5e-05,5.70052e+06
20000,80000,900,1.5e-05,5.65871e+06
20000,90000,900,1.5e-05,5.6169e+06
20000,100000,900,1.5e-05,5.57509e+06
40000,0,900,1.5e-05,6e+06
40000,10000,990,1.9e-05,5.95819e+06
40000,20000,900,1.5e-05,5.91638e+06
40000,30000,900,1.5e-05,5.86776e+06
40000,40000,900,1.5e-05,5.82595e+06
40000,50000,900,1.5e-05,5.78414e+06
40000,60000,900,1.5e-05,5.74233e+06
40000,70000,900,1.5e-05,5.70052e+06
40000,80000,900,1.5e-05,5.65871e+06
40000,90000,900,1.5e-05,5.6169e+06
40000,100000,900,1.5e-05,5.57509e+06
60000,0,900,1.5e-05,6e+06
60000,10000,900,1.5e-05,5.95819e+06
60000,20000,990,1.9e-05,5.91638e+06
60000,30000,900,1.5e-05,5.87457e+06
60000,40000,900,1.5e-05,5.82595e+06
60000,50000,900,1.5e-05,5.78414e+06
60000,60000,900,1.5e-05,5.74233e+06
60000,70000,900,1.5e-05,5.70052e+06
60000,80000,900,1.5e-05,5.65871e+06
60000,90000,900,1.5e-05,5.6169e+06
60000,100000,900,1.5e-05,5.57509e+06
80000,0,900,1.5e-05,6e+06
80000,10000,900,1.5e-05,5.95819e+06
80000,20000,900,1.5e-05,5.91638e+06
80000,30000,990,1.9e-05,5.87457e+06
80000,40000,900,1.5e-05,5.83276e+06
80000,50000,900,1.5e-05,5.78414e+06
80000,60000,900,1.5e-05,5.74233e+06
80000,70000,900,1.5e-05,5.70052e+06
80000,80000,900,1.5e-05,5.65871e+06
80000,90000,900,1.5e-05,5.6169e+06
80000,100000,900,1.5e-05,5.57509e+06
100000,0,900,1.5e-05,6e+06
100000,10000,900,1.5e-05,5.95819e+06
100000,20000,900,1.5e-05,5.91638e+06
100000,30000,900,1.5e-05,5.87457e+06
100000,40000,990,1.9e-05,5.83276e+06
100000,50000,900,1.5e-05,5.79095e+06
100000,60000,900,1.5e-05,5.74233e+06
100000,70000,900,1.5e-05,5.70052e+06
100000,80000,900,1.5e-05,5.65871e+06
100000,90000,900,1.5e-05,5.6169e+06
100000,100000,900,1.5e-05,5.57509e+06
120000,0,900,1.5e-05,6e+06
120000,10000,900,1.5e-05,5.95819e+06
120000,20000,900,1.5e-05,5.91638e+06
120000,30000,900,1.5e-05,5.87457e+06
120000,40000,900,1.5e-05,5.83276e+06
120000,50000,990,1.9e-05,5.79095e+06
120000,60000,900,1.5e-05,5.74914e+06
120000,70000,900,1.5e-05,5.70052e+06
120000,80000,900,1.5e-05,5.65871e+06
120000,90000,900,1.5e-05,5.6169e+06
120000,100000,900,1.5e-05,5.57509e+06
140000,0,900,1.5e-05,6e+06
140000,10000,900,1.5e-05,5.95819e+06
140000,20000,900,1.5e-05,5.91638e+06
140000,30000,900,1.5e-05,5.87457e+06
140000,40000,900,1.5e-05,5.83276e+06
140000,50000,900,1.5e-05,5.79095e+06
140000,60000,990,1.9e-05,5.74914e+06
140000,70000,900,1.5e-05,5.70733e+06
140000,80000,900,1.5e-05,5.65871e+06
140000,90000,900,1.5e-05,5.6169e+06
140000,100000,900,1.5e-05,5.57509e+06
160000,0,900,1.5e-05,6e+06
160000,10000,900,1.5e-05,5.95819e+06
160000,20000,900,1.5e-05,5.91638e+06
160000,30000,900,1.5e-05,5.87457e+06
160000,40000,900,1.5e-05,5.83276e+06
160000,50000,900,1.5e-05,5.79095e+06
160000,60000,900,1.5e-05,5.74914e+06
160000,70000,990,1.9e-05,5.70733e+06
160000,80000,900,1.5e-05,5.66552e+06
160000,90000,900,1.5e-05,5.6169e+06
160000,100000,900,1.5e-05,5.57509e+06
180000,0,900,1.5e-05,6e+06
180000,10000,900,1.5e-05,5.95819e+06
180000,20000,900,1.5e-05,5.91638e+06
180000,30000,900,1.5e-05,5.87457e+06
180000,40000,900,1.5e-05,5.83276e+06
180000,50000,900,1.5e-05,5.79095e+06
180000,60000,900,1.5e-05,5.74914e+06
180000,70000,900,1.5e-05,5.70733e+06
180000,80000,990,1.9e-05,5.66552e+06
180000,90000,900,1.5e-05,5.62371e+06
180000,100000,900,1.5e-05,5.57509e+06
200000,0,900,1.5e-05,6e+06
200000,10000,900,1.5e-05,5.95819e+06
200000,20000,900,1.5e-05,5.91638e+06
200000,30000,900,1.5e-05,5.87457e+06
200000,40000,900,1.5e-05,5.83276e+06
200000,50000,900,1.5e-05,5.79095e+06
200000,60000,900,1.5e-05,5.74914e+06
200000,70000,900,1.5e-05,5.70733e+06
200000,80000,900,1.5e-05,5.66552e+06
200000,90000,990,1.9e-05,5.62371e+06
200000,100000,900,1.5e-05,5.5819e+06
