Время,Координата,Плотность,Сера,Давление
2001.01,27000,900,1.5e-05,232079
2001.01,28000,900,1.5e-05,240675
2001.01,29000,900,1.5e-05,249270
2001.01,30000,900,1.5e-05,257866
2001.01,31000,900,1.5e-05,266462
2001.01,32000,900,1.5e-05,275057
2001.01,33000,900,1.5e-05,283653
2001.01,34000,900,1.5e-05,292248
2001.01,35000,900,1.5e-05,300844
2001.01,36000,900,1.5e-05,309439
2001.01,37000,900,1.5e-05,318035
2001.01,38000,900,1.5e-05,326630
2001.01,39000,900,1.5e-05,335226
2001.01,40000,900,1.5e-05,343821
2001.01,41000,900,1.5e-05,352417
2001.01,42000,900,1.5e-05,361012
2001.01,43000,900,1.5e-05,369608
2001.01,44000,900,1.5e-05,378203
2001.01,45000,900,1.5e-05,386799
2001.01,46000,900,1.5e-05,395395
2001.01,47000,900,1.5e-05,403990
2001.01,48000,900,1.5e-05,412586
2001.01,49000,900,1.5e-05,421181
2001.01,50000,900,1.5e-05,429777
2001.01,51000,900,1.5e-05,438372
2001.01,52000,900,1.5e-05,446968
2001.01,53000,900,1.5e-05,455563
2001.01,54000,900,1.5e-05,464159
2001.01,55000,900,1.5e-05,472754
2001.01,56000,900,1.5e-05,481350
2001.01,57000,900,1.5e-05,489945
2001.01,58000,900,1.5e-05,498541
2001.01,59000,900,1.5e-05,507136
2001.01,60000,900,1.5e-05,515732
2001.01,61000,900,1.5e-05,524328
2001.01,62000,900,1.5e-05,532923
2001.01,63000,900,1.5e-05,541519
2001.01,64000,900,1.5e-05,550114
2001.01,65000,900,1.5e-05,558710
2001.01,66000,900,1.5e-05,567305
2001.01,67000,900,1.5e-05,575901
2001.01,68000,900,1.5e-05,584496
2001.01,69000,900,1.5e-05,593092
2001.01,70000,900,1.5e-05,601687
2001.01,71000,900,1.5e-05,610283
2001.01,72000,900,1.5e-05,618878
2001.01,73000,900,1.5e-05,627474
2001.01,74000,900,1.5e-05,636070
2001.01,75000,900,1.5e-05,644665
2001.01,76000,900,1.5e-05,653261
2001.01,77000,900,1.5e-05,661856
2001.01,78000,900,1.5e-05,670452
2001.01,79000,900,1.5e-05,679047
2001.01,80000,900,1.5e-05,687643
2001.01,81000,900,1.5e-05,696238
2001.01,82000,900,1.5e-05,704834
2001.01,83000,900,1.5e-05,713429
2001.01,84000,900,1.5e-05,722025
2001.01,85000,900,1.5e-05,730620
2001.01,86000,900,1.5e-05,739216
2001.01,87000,900,1.5e-05,747811
2001.01,88000,900,1.5e-05,756407
2001.01,89000,900,1.5e-05,765003
2001.01,90000,900,1.5e-05,773598
2001.01,91000,900,1.5e-05,782194
2001.01,92000,900,1.5e-05,790789
2001.01,93000,900,1.5e-05,799385
2001.01,94000,900,1.5e-05,807980
2001.01,95000,900,1.5e-05,816576
2001.01,96000,900,1.5e-05,825171
2001.01,97000,900,1.5e-05,833767
2001.01,98000,900,1.5e-05,842362
2001.01,99000,900,1.5e-05,850958
2001.01,100000,900,1.5e-05,859553
